title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at,source
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_3048399,92307.69,₫ 2.4 billion,180.0,512.82,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.4 billion 180 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:08.049080,dotproperty
"Land for sale in Hoa Khanh Bac, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-minh-da-nang_2369408,80769.23,₫ 2.1 billion,115.0,702.34,,Land,Lien Chieu District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Khanh Bac, Da Nang Lien Chieu District, Da Nang ₫ 2.1 billion 115 m 2 Land for sale located at Hoa Khanh Bac, Lien Chieu District. Helen Đoàn Call",2026-09-01T09:17:08.049959,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4647408,103846.15,₫ 2.7 billion,110.0,944.06,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.7 billion 110 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:08.050243,dotproperty
"Land for sale in Hoa Hiep Nam, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-khanh-nam-da-nang_4484936,84615.38,₫ 2.2 billion,125.0,676.92,,Land,Lien Chieu District,,,,,,,"‹ › 1 /6 Land for sale in Hoa Hiep Nam, Da Nang Lien Chieu District, Da Nang ₫ 2.2 billion 125 m 2 Swimming pool Security Car park Garden Tennis court Panoramic view Concierge Library Grill Land for sale located at Hoa Hiep Nam, Lien Chieu District. Facilities include: Swimming pool, Security, Car park, Garden, Tennis court, Panoramic view, Concierge, Library and Grill. Phước Hồ Call",2026-09-01T09:17:08.050613,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4513867,65384.62,₫ 1.7 billion,100.0,653.85,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.7 billion 100 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:14.644840,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_5049861,105769.23,₫ 2.75 billion,105.0,1007.33,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.75 billion 105 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:11.272446,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_5113058,144230.77,₫ 3.75 billion,108.0,1335.47,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 3.75 billion 108 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:11.272776,dotproperty
"Land for sale in An Khe, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-an-khe-da-nang_4660265,142307.69,₫ 3.7 billion,70.0,2032.97,,Land,Thanh Khe District,,,,,,,"‹ › 1 /1 Land for sale in An Khe, Da Nang Thanh Khe District, Da Nang ₫ 3.7 billion 70 m 2 Land for sale located at An Khe, Thanh Khe District. Helen Đoàn Call",2026-09-01T09:17:14.644557,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_7041296,126923.08,₫ 3.3 billion,105.0,1208.79,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 3.3 billion 105 m 2 Swimming pool Air conditioning Gym Internet Security Car park Garden Tennis court +6 Land for sale located at Hoa Quy, Ngu Hanh Son District. Facilities include: Swimming pool, Air conditioning, Gym, Internet, Security, Car park, Garden, Tennis court, Children's area, Panoramic view, Concierge, Library, Grill and Video cable. Phước Hồ Call",2026-09-01T09:17:11.273736,dotproperty
"Land for sale in Hoa Hiep Nam, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hiep-nam-da-nang_4072202,115384.62,₫ 3 billion,120.0,961.54,,Land,Lien Chieu District,,,,,,,"‹ › 1 /6 Land for sale in Hoa Hiep Nam, Da Nang Lien Chieu District, Da Nang ₫ 3 billion 120 m 2 Swimming pool Gym Internet Security Car park Garden Children's area Library Grill Located in an expensive location, back like Hai Van mountain, facing the sea, adjacent to Cu De River, Golden Hills is considered the most luxurious urban area in Da Nang . Not only that, surrounded by Golden Hills City is a series of large-scale projects flocking to Lien Chieu, such as Gami Ecocharm Gami Group, Lake side palace Dat Xanh Dragon smart City, IT Park IT area, Home Land Central Park, High-tech... Phước Hồ Call",2026-09-01T09:17:11.304055,dotproperty
